_id,search_text,link,comp_name,address,from_google,from_website,from_dnb,from_oc,from_avention
5eb66bb449a0728d932475bc,jiangren.com.au,https://jiangren.com.au/,JR Academy,"155 Waymouth St, Adelaide SA 5000",None,"['155 Waymouth St, Adelaide SA 5000', '7 :30 am 地点 89-91 City Rd Southbank, 3006, Victoria Australia', '11 :00 am 地点 (Level2) 315 Brunswick StreetFortitude Valley QLD 4006', '7 :00 am 地点 89-91 City Rd Southbank, 3006, Victoria Australia', '14 %2F28UltimoRd,Ultimo NSW 2007', 'Level 2, 155 Queen St, Brisbane City QLD 4000', 'Level  3 , 11-31 York St, Wynyard, NSW 2000', 'Level 16, 215 Adelaide St, Brisbane QLD 4000', '28 UltimoRd,Ultimo, NSW 2007', 'Level  4 , 155 Queen St, Brisbane City QLD 4000']",None,None,"['U 13B 116 Adelaide St Brisbane, Queensland, 4000 Australia', '/company/48387ef0-ffeb-37f6-afea-3bf5353a1876']"
5eb66ce4535d821544a14dee,sitter.com austraila,https://www.sittr.com/,sitter.com austraila,None,None,None,None,None,None
5eb66dabf3d5b58ef16a4c74,www.ltt.com.au,https://www.ltt.com.au/,LabTech Training,"371-373 George St, Fitzroy VIC 3065, Australia","['371-373 George St, Fitzroy VIC 3065, Australia', ['LTT Melbourne, address', 'knowledge_panel']]",None,None,None,"['25 Colray Ave Osborne Park, Western Australia, 6017 Australia', '/company/aee30512-9037-3fec-b173-d503832b1684']"
5eb66e99e95b7d86f2518828,Learnable austraila,https://www.sitepoint.com/community/t/learnable-com-free-training-for-australian-students/33922,Learnable austraila,PO Box 1115 COLLINGWOOD VIC 3066,None,"['PO Box 1115 COLLINGWOOD VIC 3066', 'Level  1 110 Johnston St, Fitzroy VIC 3065 Australia']",None,None,None
5eb66fa738555190120005d2,www.literatu.com/,https://www.literatu.com/,Literatu,103 /109 Alexander Street CROWS NEST NSW 2065 Australia,"['109 Alexander St, Crows Nest NSW 2065, Australia', ['Literatu, address', 'knowledge_panel']]","['103 /109 Alexander Street CROWS NEST NSW 2065 Australia', 'Suite  103 -4 109 Alexander Street CROWS NEST Sydney NSW AUSTRALIA', 'Suite  103 -4 109 Alexander Street  CROWS NEST Sydney NSW AUSTRALIA 2065', 'Suite  103 /109 Alexander Street CROWS NEST SYDNEY, NSW AUSTRALIA 2065']",None,None,"['109 Alexander Street Crows Nest, New South Wales, 2065 Australia', '/company/05211a5d-4bcf-3baa-8b15-e239529ee619']"
5eb670c2382a70cea3c90149,www.livewebtutors.com/,https://www.livewebtutors.com/,LiveWebTutors,"Suite 501/280 Pitt St, Sydney NSW 2000, Australia","['Suite 501/280 Pitt St, Sydney NSW 2000, Australia', ['Assignment Help Sydney - LiveWebTutors, address', 'knowledge_panel']]","['Suite  501 , 280 Pitt Street Sydney 2000']",None,None,None
5eb672382cf60f5b673dc845,www.logitrain.com.au,https://www.logitrain.com.au/,Logitrain,410 Elizabeth Street Surry Hills NSW 2010,"['53 Dryburgh St, West Melbourne VIC 3003, Australia', ['Logitrain Melbourne | IT Training Courses, address', 'knowledge_panel']]","['410 Elizabeth Street Surry Hills NSW 2010', '53 Dryburgh Street West Melbourne VIC 3003', 'Suite  1 .02 147 Wharf Street Spring Hill QLD 4000', '28 Astor Terrace, Spring Hill QLD 4000', 'Unit  3 , Lower Ground, 301A Castlereagh Street, Sydney NSW 2000']",None,None,"['L 19 201-217 Kent St Sydney, New South Wales, 2000 Australia', '/company/768da2bb-5c74-39ae-b548-ac577cc60ea7']"
5eb6734f61272a1489607d7c,www.managementtutors.com/,https://www.managementtutors.com/,Management Tutors,None,None,None,None,None,None
5eb6746b3f8078c646a32068,www.mathsrepublic.com.au,https://www.mathsrepublic.com.au/,MathsRepublic,None,None,None,None,None,None
5eb675384beae11731a0ce35,me3d.com.au/,https://me3d.com.au/,Me3D,3 /239 Innovation Way North Wollongong NSW 2500,"['iAccelerate Centre, Innovation Way, North Wollongong NSW 2500, Australia', ['Me3D Pty Ltd, address', 'knowledge_panel']]","['3 /239 Innovation Way North Wollongong NSW 2500', '239 , Innovation Campus, Squires Way, North Wollongong NSW 2500 Australia', '239 , Innovation Campus, Squires Way, North Wollongong NSW 2500']",None,None,None
5eb676209d0d155a1c6530f3,www.3dorganon.com/,https://www.3dorganon.com/,Medis Media,"2 /23 Illawong St, Surfers Paradise, Gold Coast, Queensland 4217 Australia","['Gold Coast, 2/No 23 Illawong St, Surfers Paradise QLD 4217, Australia', ['Medis Media Pty Ltd, address', 'knowledge_panel']]","['2 /23 Illawong St, Surfers Paradise, Gold Coast, Queensland 4217 Australia', 'Unit  2 , No 23, Illawong Street, Surfers Paradise, Gold Coast, Queensland 4217']",None,None,"['U 2 23 Illawong Street Surfers Paradise, Queensland, 4217 Australia', '/company/b8581991-54cd-33f1-a864-3e9fc4886118']"
5eb6777b140e783b3524f4d9,millipede.com.au,https://millipede.com.au/,Milliped,1 Kent Street Millers Point NSW 2000 Australia,"['380 St Kilda Rd, Melbourne VIC 3004, Australia', ['Millipede, address', 'knowledge_panel']]","['1 Kent Street Millers Point NSW 2000 Australia', 'Level  11 380 St Kilda Rd Victoria 3004 Australia']",None,None,None
5eb6783b3dd775bea489b02d,www.minded.co.nz,https://www.minded.co.nz/,Minded,"3 Market Lane, Wellington 6011 New Zealand","['86/92 Mount St, Heidelberg VIC 3084, Australia', ['Mind Australia Limited, address', 'knowledge_panel']]","['3 Market Lane, Wellington 6011 New Zealand', '3 Market Lane, Wellington 6011', '79 St Georges Bay Rd Parnell Auckland 1052']","['Le 4 354 Lambton Quay Wellington Central Wellington, WELLINGTON, 6011 New Zealand', 'https://www.dnb.com/business-directory/company-profiles.minded_limited.0f799e381d09436e134ea6f48b42ff8d.html']",None,"['45 Delawney Street Balcatta, Western Australia, 6021 Australia', '/company/ec3165f6-f388-3db9-8ede-d8085a62c9d8']"
